               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.022998,            0.020932,           0.0021887,             0.83535,             0.66466,             0.74372,             0.43291,            0.028933,            0.033616,           0.0099204,            0.003282,            0.003282,            0.003282
                  87,            0.023348,            0.019912,           0.0017591,             0.83695,             0.66956,             0.74443,             0.43217,            0.029267,            0.033678,           0.0098406,           0.0031865,           0.0031865,           0.0031865
                  88,            0.028578,            0.024843,           0.0041108,             0.85743,             0.66506,             0.74799,             0.43438,             0.02891,            0.033752,           0.0097673,           0.0030925,           0.0030925,           0.0030925
                  89,            0.027094,            0.028076,           0.0029328,             0.85743,             0.66506,             0.74799,             0.43438,             0.02891,            0.033752,           0.0097673,           0.0029999,           0.0029999,           0.0029999
                  90,            0.024426,            0.019713,           0.0021957,             0.84311,             0.67801,             0.75224,             0.43505,            0.028809,             0.03363,           0.0097172,           0.0029089,           0.0029089,           0.0029089
                  91,            0.023656,            0.019864,           0.0025535,             0.84311,             0.67801,             0.75224,             0.43505,            0.028809,            0.033629,           0.0097172,           0.0028194,           0.0028194,           0.0028194
                  92,             0.02594,            0.027171,           0.0038146,             0.82425,             0.69002,             0.75364,             0.43528,            0.028832,            0.033623,           0.0098244,           0.0027315,           0.0027315,           0.0027315
                  93,            0.026214,            0.023323,           0.0026687,             0.83264,             0.68209,             0.75229,             0.43778,            0.028694,            0.033513,           0.0099128,           0.0026452,           0.0026452,           0.0026452
                  94,            0.024026,            0.021359,           0.0022333,             0.83264,             0.68209,             0.75229,             0.43778,            0.028694,            0.033512,           0.0099128,           0.0025607,           0.0025607,           0.0025607
                  95,            0.024104,            0.021992,           0.0022447,             0.83991,             0.68126,             0.75404,             0.43758,            0.028932,            0.033535,           0.0098495,            0.002478,            0.002478,            0.002478
